source,expected_destination,actual_status,actual_location,final_status,hops,final_url,destination_indexable,passed,raison
/fr/logiciel-courtier-assurance,/logiciel-courtier-assurance,308,/logiciel-courtier-assurance,200,1,/logiciel-courtier-assurance,oui,oui,
/fr/automatisation-courtier-assurance,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/courtia-logiciel-courtage-assurance,/logiciel-courtage-assurance,308,/logiciel-courtage-assurance,200,1,/logiciel-courtage-assurance,oui,oui,
/fr/gestion-portefeuille-courtier,/fonctionnalites/gestion-portefeuille-assurance,308,/fonctionnalites/gestion-portefeuille-assurance,200,1,/fonctionnalites/gestion-portefeuille-assurance,oui,oui,
/fr/glossaire,/glossaire,308,/glossaire,200,1,/glossaire,oui,oui,
/landing,/,308,/,200,1,/,oui,oui,
/ch/glossaire,/glossaire,308,/glossaire,200,1,/glossaire,oui,oui,
/ch/crm-courtier-assurance-suisse,/suisse/crm-courtier-assurance,308,/suisse/crm-courtier-assurance,200,1,/suisse/crm-courtier-assurance,oui,oui,
/ch/logiciel-courtier-assurance-suisse,/suisse/crm-courtier-assurance,308,/suisse/crm-courtier-assurance,200,1,/suisse/crm-courtier-assurance,oui,oui,
/ch/logiciel-intermediaire-assurance-suisse,/suisse/crm-courtier-assurance,308,/suisse/crm-courtier-assurance,200,1,/suisse/crm-courtier-assurance,oui,oui,
/ch/gestion-portefeuille-assurance-suisse,/fonctionnalites/gestion-portefeuille-assurance,308,/fonctionnalites/gestion-portefeuille-assurance,200,1,/fonctionnalites/gestion-portefeuille-assurance,oui,oui,
/ch/gestion-documentaire-courtier-assurance-suisse,/fonctionnalites/gestion-documents-assurance,308,/fonctionnalites/gestion-documents-assurance,200,1,/fonctionnalites/gestion-documents-assurance,oui,oui,
/ch/relances-courtier-assurance-suisse,/fonctionnalites/relance-devis-assurance,308,/fonctionnalites/relance-devis-assurance,200,1,/fonctionnalites/relance-devis-assurance,oui,oui,
/ch/logiciel-devis-courtier-assurance-suisse,/fonctionnalites/relance-devis-assurance,308,/fonctionnalites/relance-devis-assurance,200,1,/fonctionnalites/relance-devis-assurance,oui,oui,
/ch/outils/calculateur-temps-administratif-suisse,/outils/calculateur-productivite-courtier,308,/outils/calculateur-productivite-courtier,200,1,/outils/calculateur-productivite-courtier,oui,oui,
/ch/tarifs-logiciel-courtier-chf,/tarifs,308,/tarifs,200,1,/tarifs,oui,oui,
/fr/tarifs-logiciel-courtier,/tarifs,308,/tarifs,200,1,/tarifs,oui,oui,
/fr/outils/calculateur-temps-administratif,/outils/calculateur-productivite-courtier,308,/outils/calculateur-productivite-courtier,200,1,/outils/calculateur-productivite-courtier,oui,oui,
/fr/outils/calculateur-manipulations-administratives,/outils/calculateur-productivite-courtier,308,/outils/calculateur-productivite-courtier,200,1,/outils/calculateur-productivite-courtier,oui,oui,
/fr/guide/centraliser-dossiers-clients,/guides/centraliser-documents-clients-assurance,308,/guides/centraliser-documents-clients-assurance,200,1,/guides/centraliser-documents-clients-assurance,oui,oui,
/fr/gestion-documentaire-courtier-assurance,/fonctionnalites/gestion-documents-assurance,308,/fonctionnalites/gestion-documents-assurance,200,1,/fonctionnalites/gestion-documents-assurance,oui,oui,
/fr/gestion-commissions-courtier-assurance,/fonctionnalites/gestion-clients,308,/fonctionnalites/gestion-clients,200,1,/fonctionnalites/gestion-clients,oui,oui,
/fr/comparatif/crm-courtier-vs-excel,/comparatifs/excel-vs-crm-courtier-assurance,308,/comparatifs/excel-vs-crm-courtier-assurance,200,1,/comparatifs/excel-vs-crm-courtier-assurance,oui,oui,
/fr/comparatif/crm-specialise-vs-crm-generaliste,/comparatifs/crm-assurance-vs-crm-generaliste,308,/comparatifs/crm-assurance-vs-crm-generaliste,200,1,/comparatifs/crm-assurance-vs-crm-generaliste,oui,oui,
/fr/alternative-courtigo,/comparatifs/crm-assurance-vs-crm-generaliste,308,/comparatifs/crm-assurance-vs-crm-generaliste,200,1,/comparatifs/crm-assurance-vs-crm-generaliste,oui,oui,
/fr/alternative-kase,/comparatifs/crm-assurance-vs-crm-generaliste,308,/comparatifs/crm-assurance-vs-crm-generaliste,200,1,/comparatifs/crm-assurance-vs-crm-generaliste,oui,oui,
/fr/alternative-lya,/comparatifs/crm-assurance-vs-crm-generaliste,308,/comparatifs/crm-assurance-vs-crm-generaliste,200,1,/comparatifs/crm-assurance-vs-crm-generaliste,oui,oui,
/fr/alternative-oggo-data,/comparatifs/crm-assurance-vs-crm-generaliste,308,/comparatifs/crm-assurance-vs-crm-generaliste,200,1,/comparatifs/crm-assurance-vs-crm-generaliste,oui,oui,
/fr/logiciel-courtier-habitation,/assurances,308,/assurances,200,1,/assurances,oui,oui,
/fr/logiciel-courtier-grossiste,/assurances,308,/assurances,200,1,/assurances,oui,oui,
/fr/logiciel-courtier-mandataire,/assurances,308,/assurances,200,1,/assurances,oui,oui,
/fr/demo-et-essai-gratuit,/demo,308,/demo,200,1,/demo,oui,oui,
/fr/evaluer-crm-courtier-assurance,/comparatifs/crm-assurance-vs-crm-generaliste,308,/comparatifs/crm-assurance-vs-crm-generaliste,200,1,/comparatifs/crm-assurance-vs-crm-generaliste,oui,oui,
/fr/guide/choisir-crm-cabinet-courtage,/logiciel-courtier-assurance,308,/logiciel-courtier-assurance,200,1,/logiciel-courtier-assurance,oui,oui,
/fr/outil-courtier-assurance,/outils,308,/outils,200,1,/outils,oui,oui,
/fr,/france,308,/france,200,1,/france,oui,oui,
/ch,/suisse,308,/suisse,200,1,/suisse,oui,oui,
/sitemap-seo.xml,/sitemap.xml,308,/sitemap.xml,200,1,/sitemap.xml,oui,oui,
/sitemap-ch.xml,/sitemap.xml,308,/sitemap.xml,200,1,/sitemap.xml,oui,oui,
/fr/relance-client-assurance,/guides/comment-ne-plus-oublier-relances-courtier,308,/guides/comment-ne-plus-oublier-relances-courtier,200,1,/guides/comment-ne-plus-oublier-relances-courtier,oui,oui,
/fr/logiciel-gestion-cabinet-courtage,/solutions/cabinet-courtage-assurance,308,/solutions/cabinet-courtage-assurance,200,1,/solutions/cabinet-courtage-assurance,oui,oui,
/fr/ia-courtier-assurance,/fonctionnalites/assistant-ark,308,/fonctionnalites/assistant-ark,200,1,/fonctionnalites/assistant-ark,oui,oui,
/fr/comparateur-assurance-courtier,/comparatifs/crm-assurance-vs-crm-generaliste,308,/comparatifs/crm-assurance-vs-crm-generaliste,200,1,/comparatifs/crm-assurance-vs-crm-generaliste,oui,oui,
/fr/gestion-portefeuille-assurance,/fonctionnalites/gestion-portefeuille-assurance,308,/fonctionnalites/gestion-portefeuille-assurance,200,1,/fonctionnalites/gestion-portefeuille-assurance,oui,oui,
/legal/confidentialite,/confidentialite,308,/confidentialite,200,1,/confidentialite,oui,oui,
/legal/mentions-legales,/mentions-legales,308,/mentions-legales,200,1,/mentions-legales,oui,oui,
/ch/automatisation-courtier-assurance-suisse,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/ch/conformite-intermediaire-assurance-lsa-finma,/guides/devoir-de-conseil-suivi-dossier,308,/guides/devoir-de-conseil-suivi-dossier,200,1,/guides/devoir-de-conseil-suivi-dossier,oui,oui,
/ch/gestion-cabinet-courtage-suisse,/suisse,308,/suisse,200,1,/suisse,oui,oui,
/ch/gestion-commissions-courtier-assurance-suisse,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
/ch/ia-courtier-assurance-suisse,/fonctionnalites/assistant-ark,308,/fonctionnalites/assistant-ark,200,1,/fonctionnalites/assistant-ark,oui,oui,
/ch/import-portefeuille-courtier-assurance-suisse,/fonctionnalites/gestion-portefeuille-assurance,308,/fonctionnalites/gestion-portefeuille-assurance,200,1,/fonctionnalites/gestion-portefeuille-assurance,oui,oui,
/ch/logiciel-prospection-courtier-assurance-suisse,/fonctionnalites/prospection-assurance,308,/fonctionnalites/prospection-assurance,200,1,/fonctionnalites/prospection-assurance,oui,oui,
/ch/nlpd-courtier-assurance,/guides/donnees-clients-assurance-france-suisse,308,/guides/donnees-clients-assurance-france-suisse,200,1,/guides/donnees-clients-assurance-france-suisse,oui,oui,
/ch/partenaires-apporteurs-courtier-assurance-suisse,/suisse,308,/suisse,200,1,/suisse,oui,oui,
/ch/portail-client-assurance-suisse,/fonctionnalites/gestion-clients,308,/fonctionnalites/gestion-clients,200,1,/fonctionnalites/gestion-clients,oui,oui,
/ch/reporting-pilotage-courtier-assurance-suisse,/fonctionnalites/reporting-courtier,308,/fonctionnalites/reporting-courtier,200,1,/fonctionnalites/reporting-courtier,oui,oui,
/ch/sinistres-courtier-assurance-suisse,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
/ch/workflows-courtier-assurance-suisse,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/cartographie-courtiers-assurance-france,/france,308,/france,200,1,/france,oui,oui,
/fr/checklists,/outils/checklist-dossier-courtier-assurance,308,/outils/checklist-dossier-courtier-assurance,200,1,/outils/checklist-dossier-courtier-assurance,oui,oui,
/fr/checklists/collecte-documentaire,/fonctionnalites/gestion-documents-assurance,308,/fonctionnalites/gestion-documents-assurance,200,1,/fonctionnalites/gestion-documents-assurance,oui,oui,
/fr/checklists/onboarding-client,/fonctionnalites/gestion-clients,308,/fonctionnalites/gestion-clients,200,1,/fonctionnalites/gestion-clients,oui,oui,
/fr/checklists/organisation-cabinet,/outils/checklist-dossier-courtier-assurance,308,/outils/checklist-dossier-courtier-assurance,200,1,/outils/checklist-dossier-courtier-assurance,oui,oui,
/fr/checklists/preparation-audit,/outils/checklist-dossier-courtier-assurance,308,/outils/checklist-dossier-courtier-assurance,200,1,/outils/checklist-dossier-courtier-assurance,oui,oui,
/fr/checklists/renouvellement,/fonctionnalites/renouvellements-assurance,308,/fonctionnalites/renouvellements-assurance,200,1,/fonctionnalites/renouvellements-assurance,oui,oui,
/fr/checklists/suivi-sinistre,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
/fr/comparatif/automatisation-vs-gestion-manuelle,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/conformite-courtier-assurance,/guides/devoir-de-conseil-suivi-dossier,308,/guides/devoir-de-conseil-suivi-dossier,200,1,/guides/devoir-de-conseil-suivi-dossier,oui,oui,
/fr/dicter-compte-rendu-appel-assurance,/fonctionnalites/compte-rendu-clients,308,/fonctionnalites/compte-rendu-clients,200,1,/fonctionnalites/compte-rendu-clients,oui,oui,
/fr/gagner-du-temps-courtier-assurance,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/gain-de-temps/commissions-et-pilotage,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
/fr/gain-de-temps/documents-et-pieces,/fonctionnalites/gestion-documents-assurance,308,/fonctionnalites/gestion-documents-assurance,200,1,/fonctionnalites/gestion-documents-assurance,oui,oui,
/fr/gain-de-temps/relances-et-suivi-client,/fonctionnalites/relance-devis-assurance,308,/fonctionnalites/relance-devis-assurance,200,1,/fonctionnalites/relance-devis-assurance,oui,oui,
/fr/gain-de-temps/renouvellements-et-echeances,/fonctionnalites/renouvellements-assurance,308,/fonctionnalites/renouvellements-assurance,200,1,/fonctionnalites/renouvellements-assurance,oui,oui,
/fr/gain-de-temps/sinistres-et-conformite,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
/fr/gain-de-temps/temps-administratif-et-double-saisie,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/gestion-prospects-clients-courtier-assurance,/fonctionnalites/prospection-assurance,308,/fonctionnalites/prospection-assurance,200,1,/fonctionnalites/prospection-assurance,oui,oui,
/fr/gestion-taches-cabinet-courtage,/automatisation-courtier-assurance,308,/automatisation-courtier-assurance,200,1,/automatisation-courtier-assurance,oui,oui,
/fr/glossaire/commissions,/crm-courtier-assurance,308,/glossaire,200,1,/glossaire,oui,non,destination inattendue
/fr/glossaire/courtier-assurance,/glossaire,308,/glossaire,200,1,/glossaire,oui,oui,
/fr/glossaire/dda,/guides/devoir-de-conseil-suivi-dossier,308,/glossaire,200,1,/glossaire,oui,non,destination inattendue
/fr/glossaire/devoir-de-conseil,/glossaire,308,/glossaire,200,1,/glossaire,oui,oui,
/fr/glossaire/echeance-contrat,/fonctionnalites/renouvellements-assurance,308,/glossaire,200,1,/glossaire,oui,non,destination inattendue
/fr/glossaire/finma,/suisse,308,/glossaire,200,1,/glossaire,oui,non,destination inattendue
/fr/glossaire/intermediaire-assurance,/glossaire,308,/glossaire,200,1,/glossaire,oui,oui,
/fr/glossaire/logiciel-courtier,/glossaire,308,/glossaire,200,1,/glossaire,oui,oui,
/fr/glossaire/nlpd,/guides/donnees-clients-assurance-france-suisse,308,/glossaire,200,1,/glossaire,oui,non,destination inattendue
